festival,edition_year,page_url,response_url,status,content_type,saved_body,body_preview,error,captured_at
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,200,text/html; charset=utf-8,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355_https_belgium.tomorrowland.com_en_line-up.txt,"<!DOCTYPE html><html><head><script src=""https://web-static.archive.org/_static/js/athena.js"" type=""text/javascript""></script>
<script type=""text/javascript"">window.addEventListener('DOMContentLoaded',function(){var v=archive_analytics.values;v.service='wb';v.server_name='wwwb-app204.us.archive.org';v.server_ms=1283;archive_analytics.send_pageview({});});</script>
<script type=""text/javascript"" src=""https://web-static.archive.org/_static/js/bundle-playback.js?v=2N_sDSC0"" charset=""utf-8""></script>",,2026-06-21T06:24:11+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355jm_/https://components.tomorrowland.com/tml-live-lineup/live-lineup-base.js,200,application/javascript,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355jm__https_components.tomorrowland.com_tml-live-lineup_live-l.txt,"var _____WB$wombat$assign$function_____=function(name){return (globalThis._wb_wombat && globalThis._wb_wombat.local_init && globalThis._wb_wombat.local_init(name))||globalThis[name];};if(!globalThis.__WB_pmw){globalThis.__WB_pmw=function(obj){this.__WB_source=obj;return this;}}var window = _____WB$wombat$assign$function_____(""window"");
var self = _____WB$wombat$assign$function_____(""self"");
var document = _____WB$wombat$assign$function_____(""document"");
var location = _____WB$wombat$assign$funct",,2026-06-21T06:24:12+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/http://web.archive.org/screenshot/https://belgium.tomorrowland.com/en/line-up/,404,text/html,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355_http_web.archive.org_screenshot_https_belgium.tomorrowland..txt,,,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/__wb/sparkline?output=json&url=https%3A%2F%2Fbelgium.tomorrowland.com%2Fen%2Fline-up%2F&collection=web&nav=20250720000355,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org___wb_sparkline_output_json_url_https_3A_2F_2Fbelgium.tomorrowland.com_2Fen_2Fl.txt,"{""years"":{""2024"":[0,0,0,0,4,5,4,3,2,1,1,7],""2025"":[7,4,2,3,1,5,16,36,2,4,3,2],""2026"":[2,3,3,0,3,2,0,0,0,0,0,0]},""first_ts"":""20240521211316"",""last_ts"":""20260619080300"",""status"":{""2024"":""444422222222"",""2025"":""222222222222"",""2026"":""222422444444""},""nav"":{""next"":""20250725200756"",""prev"":""20250718180808"",""monthPrev"":""20250609171328"",""monthNext"":""20250820054816"",""yearPrev"":""20240620051554"",""yearNext"":null}}",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://wayback-api.archive.org/services/context/notices?url=https%3A%2F%2Fbelgium.tomorrowland.com%2Fen%2Fline-up%2F&timestamp=20250720000355,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_wayback-api.archive.org_services_context_notices_url_https_3A_2F_2Fbelgium.tomorrowland.com_2F.txt,"{""status"":""success"",""notices"":[]}",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://archive.org/includes/donate.php?as_page=1&platform=wb&referer=https%3A//web.archive.org/web/20250720000355/https%3A//belgium.tomorrowland.com/en/line-up/,200,text/html; charset=UTF-8,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_archive.org_includes_donate.php_as_page_1_platform_wb_referer_https_3A_web.archive.org_web_202.txt,"<!DOCTYPE html>
  <html lang=""en"" class=""donation-banner-iframe"">
    <head><title>Donate</title><style>body{margin:0}</style>
    <meta name=""viewport"" content=""width=device-width, initial-scale=1"">
      <script src=""https://archive.org/includes/jquery-1.10.2.min.js""></script>
      <script src=""https://archive.org/components/npm/@babel/polyfill/dist/polyfill.min.js""></script>
      <script src=""https://archive.org/includes/athena.js""></script>
          <script src=""//archive.org/includes/bui",,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213446/https://plausible-e0yuv-u38524.vm.elestio.app/js/script.tagged-events.js,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/line-up.json?language=en&uid=line-up,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:13+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213447/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/welcome.json?language=en&uid=welcome,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213447_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213447/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/dd45d4ed-9f2f-45ae-ac9d-9f869bbb9dba"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""video"",""label"":""Video"",""key"":""video""},""image"":null,""video"":""https://web.archive.org/web/20250719213447/https://web-video-assets.tomorrowland.com/HEADER_GA_4MB.mp4""},""title"":""Tomorrowland Belgium"",""subtitle"":""De Schorre • Boom, Belgium"",""description"":null,""buttons"":[],""",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213447/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/passes-packages.json?language=en&uid=passes-packages,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213447_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213447/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/88fe08d0-6435-446d-941b-70a4ce2d9430"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::back/240727_201055_tml24_8088_jb.jpg"",""url"":""https://web.archive.org/web/20250719213447/https://tlbe-assets.prod.tomorrowland.com/back/240727_201055_tml24_8088_jb.jpg"",""permalink"":""https://web.archive.org/web",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213448/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/my-bracelet.json?language=en&uid=my-bracelet,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213448_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213448/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/3f288bbd-8ad7-46a4-9da2-481cc33fbf4f"",""author"":9,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::2024/scenery/240720-132812-tml24_v4202540_va.jpg"",""url"":""https://web.archive.org/web/20250719213448/https://tlbe-assets.prod.tomorrowland.com/2024/scenery/240720-132812-tml24_v4202540_va.jpg"",""permalink"":""htt",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213448/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/practical.json?language=en&uid=practical,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213448_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213448/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/dfdade6e-8e7a-405b-94a7-2a21e539c638"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::back/20240720-fiendevos-vonkfien-dsc07470.jpg"",""url"":""https://web.archive.org/web/20250719213448/https://tlbe-assets.prod.tomorrowland.com/back/20240720-fiendevos-vonkfien-dsc07470.jpg"",""permalink"":""https://w",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213452/https://plausible-e0yuv-u38524.vm.elestio.app/js/script.tagged-events.js,200,application/javascript,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213452_https_plausible-e0yuv-u38524.vm.elestio.app_js_script.tagge.txt,"var _____WB$wombat$assign$function_____=function(name){return (globalThis._wb_wombat && globalThis._wb_wombat.local_init && globalThis._wb_wombat.local_init(name))||globalThis[name];};if(!globalThis.__WB_pmw){globalThis.__WB_pmw=function(obj){this.__WB_source=obj;return this;}}{
let window = _____WB$wombat$assign$function_____(""window"");
let self = _____WB$wombat$assign$function_____(""self"");
let document = _____WB$wombat$assign$function_____(""document"");
let location = _____WB$wombat$assign$fun",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213448/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/line-up.json?language=en&uid=line-up,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213448_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213448/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/72000f40-ce3c-4c36-b821-8c25d35c0e94"",""author"":4,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::240726_203936_tml24_0001_jb.jpg"",""url"":""https://web.archive.org/web/20250719213448/https://tlbe-assets.prod.tomorrowland.com/240726_203936_tml24_0001_jb.jpg"",""permalink"":""https://web.archive.org/web/202507192",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213448/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/sales-info.json?language=en&uid=sales-info,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213448_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213448/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/b07c6816-53fb-4a18-9bc6-04bfe3302526"",""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::back/240721-000032-tml24__hl96274_hl.jpg"",""url"":""https://web.archive.org/web/20250719213448/https://tlbe-assets.prod.tomorrowland.com/back/240721-000032-tml24__hl96274_hl.jpg"",""permalink"":""https://web.archive.org/web/20",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://athena.archive.org/0.gif?kind=event&ec=DonateBanner&ea=Viewed&el=DonateBanner-20260601JuneDeploy2-WBjuneGFMPvanishPSA-Desktop&cache_bust=0.3137737823637743&service=ao_2&version=2&count=8,200,image/gif,,,'utf-8' codec can't decode byte 0x90 in position 10: invalid start byte,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719213447/https://belgium.tomorrowland.com/_next/data/B5bedH6kKKzklhneXAf95/en/add-on-sale.json?language=en&uid=add-on-sale,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719213447_https_belgium.tomorrowland.com__next_data_B5bedH6kKKzklhneX.txt,"{""pageProps"":{""doc"":{""api_url"":""https://web.archive.org/web/20250719213447/https://tlbe.prod.tomorrowland.com/api/collections/pages/entries/8646f066-feec-4745-818d-7f6c68945967"",""author"":7,""blocks"":[{""background"":{""type"":{""value"":""image"",""label"":""Image"",""key"":""image""},""image"":{""id"":""assets::back/240719-204624-tml24_img_0991_bv.jpg"",""url"":""https://web.archive.org/web/20250719213447/https://tlbe-assets.prod.tomorrowland.com/back/240719-204624-tml24_img_0991_bv.jpg"",""permalink"":""https://web.archive",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://artist-lineup-cdn.tomorrowland.com/config-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355js_/https://connect.facebook.net/en_US/fbevents.js,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355js_/https://analytics.tiktok.com/i18n/pixel/events.js?sdkid=CFVQ12BC77U3AHBI99DG&lib=ttq,404,text/html,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000355js__https_analytics.tiktok.com_i18n_pixel_events.js_sdkid_CF.txt,,,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/config-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_config-TLBE25-2b21.txt,"{""config"":{""weekends"":[{""name"":""W1"",""startDate"":""2025-07-17 12:00"",""endDate"":""2025-07-21 01:00""},{""name"":""W2"",""startDate"":""2025-07-24 12:00"",""endDate"":""2025-07-28 01:00""}],""withTimetable"":true}}",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000434js_/https://connect.facebook.net/en_US/fbevents.js,200,application/x-javascript; charset=utf-8,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250720000434js__https_connect.facebook.net_en_US_fbevents.js.txt,"var _____WB$wombat$assign$function_____=function(name){return (globalThis._wb_wombat && globalThis._wb_wombat.local_init && globalThis._wb_wombat.local_init(name))||globalThis[name];};if(!globalThis.__WB_pmw){globalThis.__WB_pmw=function(obj){this.__WB_source=obj;return this;}}{
let window = _____WB$wombat$assign$function_____(""window"");
let self = _____WB$wombat$assign$function_____(""self"");
let document = _____WB$wombat$assign$function_____(""document"");
let location = _____WB$wombat$assign$fun",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250720000355/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,302,text/plain; charset=utf-8,,,Response.text: Response body is unavailable for redirect responses,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/stages-TLBE25-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_stages-TLBE25-2b21.txt,"{""stages"":[{""id"":""1784481711"",""name"":""MAINSTAGE"",""hosts"":{},""mtba"":false,""more_to_be_announced"":{""2025-07-18"":false}},{""id"":""1784481821"",""name"":""FREEDOM BY BUD"",""hosts"":[],""mtba"":false,""more_to_be_announced"":[]},{""id"":""1784481872"",""name"":""THE ROSE GARDEN"",""hosts"":{""2025-07-18"":""ANDROMEDIK INVITES"",""2025-07-19"":""BONZAI"",""2025-07-20"":""TWEEKAMANIA"",""2025-07-25"":""RAMPAGE"",""2025-07-26"":""TRIBUTE TO BELGIUM: ILLUSION"",""2025-07-27"":""SUB ZERO PROJECT & FRIENDS""},""mtba"":false,""more_to_be_announced"":{""2025",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W1-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W1-2b21fd6c.txt,"{""performances"":[{""id"":""2058924932"",""name"":""Little D"",""artists"":[{""id"":""2009352042"",""name"":""Little D""}],""stage"":{""id"":""1784481754"",""name"":""HOUSE OF FORTUNE BY JBL""},""date"":""2025-07-19"",""day"":""SATURDAY"",""startTime"":""2025-07-19 13:00:00+02:00"",""endTime"":""2025-07-19 14:00:00+02:00""},{""id"":""2058924419"",""name"":""DAVID HERRLICH"",""artists"":[{""id"":""2037043294"",""name"":""DAVID HERRLICH""}],""stage"":{""id"":""1784481754"",""name"":""HOUSE OF FORTUNE BY JBL""},""date"":""2025-07-19"",""day"":""SATURDAY"",""startTime"":""2025-07-1",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/TLBE25-W2-2b21fd6c-aa71-43a9-87d1-0334f759a95b.json,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20250719183439_https_artist-lineup-cdn.tomorrowland.com_TLBE25-W2-2b21fd6c.txt,"{""performances"":[{""id"":""2043549440"",""name"":""Marhu"",""artists"":[{""id"":""1787223863"",""name"":""Marhu"",""image"":""https://web.archive.org/web/20250719183439/https://artist-lineup-cdn.tomorrowland.com/124090755-Marhu press 1 .jpg"",""facebook"":""www.facebook.com/marhu.music"",""instagram"":""www.instagram.com/marhu.music"",""soundcloud"":""https://web.archive.org/web/20250719183439/https://www.soundcloud.com/marhu-music""}],""stage"":{""id"":""2043457055"",""name"":""THE GATHERING - STAGE II""},""date"":""2025-07-24"",""day"":""THURS",,2026-06-21T06:24:14+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://athena.archive.org/0.gif?kind=event&ec=DonateBanner&ea=Viewed&el=DonateBanner-20260601JuneDeploy2-WBjuneGFMPvanishPSA-Desktop&cache_bust=0.515780674861394&service=ao_2&version=2&count=8,200,image/gif,,,'utf-8' codec can't decode byte 0x90 in position 10: invalid start byte,2026-06-21T06:24:15+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://athena.archive.org/0.gif?path=%2Fweb&service=wb&server_name=wwwb-app204.us.archive.org&server_ms=226&kind=pageview&timediff=8&locale=zh-CN&referrer=https%3A%2F%2Fweb.archive.org%2Fweb%2F20250720000355%2Fhttps%3A%2F%2Fbelgium.tomorrowland.com%2Fen%2Fline-up%2F&loadtime=1083&nav_to_done_ms=1327&iaprop_fontSize=19.200000000000003px&iaprop_devicePixelRatio=1.0000000298023224&version=2&count=14,200,image/gif,,,'utf-8' codec can't decode byte 0x90 in position 10: invalid start byte,2026-06-21T06:24:15+00:00
Tomorrowland,2025,https://web.archive.org/web/20250720000355/https://belgium.tomorrowland.com/en/line-up/,https://web.archive.org/web/20260621062415/https://fallback.tomorrowland.com/belgium.tomorrowland.com/fallback.json?cacheBust=1752969835,200,application/json,C:\Users\12907\Desktop\2025-2026大三下学期\数据库原理及应用\数据库期末作业\data\raw\festival_network_capture\Tomorrowland_https_web.archive.org_web_20260621062415_https_fallback.tomorrowland.com_belgium.tomorrowland.com_fa.txt,"{}
",,2026-06-21T06:24:21+00:00
